district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Villar del Arzobispo,Valencia,5784,290,1247,6406,211,243
Villarcayo,Burgos,8384,1545,13826,21176,1876,2430
Villareal,Castellón,9233,720,1514,11097,404,328
Villaviciosa,Oviedo,6291,1181,5261,11816,2327,1118
Villena,Alicante,7691,364,1662,9142,308,573
Vinaroz,Castellón,10311,135,2329,13056,226,702
Vitigudino,Salamanca,10914,1286,7233,15954,1776,1685
Vitoria,Álava,9778,2048,17408,14588,6075,6595
Viver,Castellón,10400,333,2586,11953,191,390
Vivero,Lugo,9109,1186,3758,17651,898,1321
Vélez-Málaga,Málaga,17076,348,3407,18583,412,1276
Vélez-Rubio,Almería,9051,176,1926,10947,236,582
Yecla,Murcia,8807,247,2371,10230,298,741
Yeste,Albacete,9692,139,1427,10408,127,374
Zafra,Badajoz,11024,575,3714,11911,897,1621
Zamora,Zamora,8877,1291,9641,15026,1663,3142
Zaragoza,Zaragoza,25060,1575,18192,32972,1623,7005
Ágreda,Soria,5323,798,5556,11082,1213,1183
Álora,Málaga,12791,255,1481,12878,213,804
Ávila,Ávila,11292,1492,7877,16471,2013,1631
Écija,Sevilla,13315,417,4007,15155,736,2004
Órdenes,Coruña,11337,407,2682,16346,52,71
Úbeda,Jaén,12579,299,3314,13565,524,1331
